Year,Race,n,First,Second,Third,Fourth,Fifth
2015,All,"1,25,819","22,800","43,511","72,001","1,17,002","2,14,462"
2014,All,"1,24,587","21,432","41,186","68,212","1,12,262","2,06,568"
2013,All,"1,23,931","21,000","41,035","67,200","1,10,232","2,05,128"
2013,All,"1,22,952","20,900","40,187","65,501","1,05,910","1,96,000"
2012,All,"1,22,459","20,599","39,764","64,582","1,04,096","1,91,156"
2011,All,"1,21,084","20,262","38,520","62,434","1,01,582","1,86,000"
2010,All,"1,19,927","20,000","38,000","61,500","1,00,029","1,80,485"
2009,All,"1,17,538","20,453","38,550","61,801","1,00,000","1,80,001"
2008,All,"1,17,181","20,712","39,000","62,725","1,00,240","1,80,000"
2007,All,"1,16,783","20,291","39,100","62,000","1,00,000","1,77,000"
2006,All,"1,16,011","20,035","37,774","60,000","97,032","1,74,012"
2005,All,"1,14,384","19,178","36,000","57,660","91,705","1,66,000"
2004,All,"1,13,343","18,486","34,675","55,230","88,002","1,57,152"
2003,All,"1,12,000","17,984","34,000","54,453","86,867","1,54,120"
2002,All,"1,11,278","17,916","33,377","53,162","84,016","1,50,002"
2001,All,"1,09,297","17,970","33,314","53,000","83,500","1,50,499"
2000,All,"1,08,209","17,920","33,000","52,174","81,766","1,45,220"
1999,All,"1,06,434","17,136","31,920","50,384","79,232","1,42,000"
1998,All,"1,03,874","16,116","30,408","48,337","75,000","1,32,199"
1997,All,"1,02,528","15,400","29,200","46,000","71,500","1,26,550"
1996,All,"1,01,018","14,768","27,760","44,006","68,015","1,19,540"
1995,All,"99,627","14,400","26,914","42,002","65,124","1,13,000"
1994,All,"98,990","13,426","25,200","40,100","62,841","1,09,821"
1993,All,"97,107","12,967","24,679","38,793","60,300","1,04,639"
1992,All,"96,426","12,600","24,140","37,900","58,007","99,020"
1991,All,"95,669","12,591","24,000","37,070","56,759","96,400"
1990,All,"94,312","12,500","23,662","36,200","55,205","94,748"
1989,All,"93,347","12,096","23,000","35,350","53,710","91,750"
1988,All,"92,830","11,382","21,500","33,506","50,593","85,640"
1987,All,"91,124","10,800","20,500","32,000","48,363","80,928"
1986,All,"89,479","10,247","19,600","30,419","45,982","77,106"
1985,All,"88,458","9,941","18,704","28,975","43,578","72,004"
1984,All,"86,789","9,500","17,780","27,393","41,380","68,500"
1983,All,"85,290","8,949","16,640","25,539","38,596","63,500"
1982,All,"83,918","8,400","15,976","24,410","36,400","60,086"
1981,All,"83,527","8,024","15,000","23,200","34,300","55,200"
1980,All,"82,368","7,478","14,024","21,500","31,480","50,661"
1979,All,"80,776","7,000","13,000","20,001","29,000","46,860"
1978,All,"77,330","6,318","11,946","18,075","26,288","42,055"
1977,All,"76,030","5,734","10,800","16,462","24,000","38,000"
1976,All,"74,142","5,405","10,070","15,340","22,070","35,000"
1975,All,"72,867","5,000","9,384","14,180","20,360","32,129"
1974,All,"71,163","4,860","9,015","13,321","19,333","30,600"
1973,All,"69,859","4,397","8,455","12,510","18,012","28,950"
1972,All,"68,251","4,050","7,800","11,528","16,500","26,555"
1971,All,"66,676","3,800","7,244","10,660","15,200","24,138"
1970,All,"64,778","3,688","7,065","10,276","14,661","23,175"
1969,All,"63,401","3,575","6,860","9,921","13,900","21,800"
1968,All,"62,214","3,323","6,300","9,030","12,688","19,850"
1967,All,"60,813","3,000","5,850","8,303","11,840","19,000"
